Sentence #,Word,Tag
,of,O
,overflow,O
,arrangement,O
Sentence 1551,Fig. 28 ,O
,"Flow,",O
,mains,O
,water,O
Sentence 1552,Fig. 11 ,O
,Removing,O
,the,O
,level,O
,sensor,O
Sentence 1553,Fig. 6 ,O
,Internal,O
,layout,O
,LC,O
,(three-phase,O
,main,O
,board,O
,as,O
,example),O
Sentence 1554,Fig. 10 ,O
,Menu,O
,structure,O
,for,O
,information,O
,menu,O
Sentence 1555,Fig. 7 ,O
,Internal,O
,"layout,",O
,LC,O
,Y/D,O
,version,O
,TM,O
Sentence 1556,Fig. 4 ,O
,Operating,O
,panel,O
Sentence 1557,Fig. 9 ,O
,Multilift,O
,MD/MLD.22.3.4,O
Sentence 1558,Fig. 11 ,O
,Multilift,O
,MOG,O
Sentence 1559,Fig. 5 ,O
,Pressure,O
,tube,O
,with,O
,pressure,O
,hose,O
Sentence 1560,Fig. 1 ,O
,LC,O
,level,O
,controller,O
Sentence 1561,Fig. 2 ,O
,Example,O
,of,O
,an,O
,LC,O
,nameplate,O
Sentence 1562,Fig. 4 ,O
,Pressure,O
,tube,O
,with,O
,hose,O
Sentence 1563,Fig. 5 ,O
,Mounting,O
,of,O
,controller,O
,on,O
,the,O
,wall,O
Sentence 1564,Fig. 1 ,O
,Components,O
,on,O
,the,O
,cabinet,O
,door,O
Sentence 1565,Fig. 2 ,O
,Main,O
,components,O
,in,O
,the,O
,control,O
,cabinet,O
Sentence 1566,Fig. 3 ,O
,Charger-monitoring,O
,unit,O
Sentence 1567,Fig. 14 ,O
,Min.,O
,and,O
,max.,O
,curves,O
Sentence 1568,Fig. 32 ,O
,Example,O
,of,O
,min.,O
,and,O
,max.,O
,settings,O
Sentence 1569,Fig. 24 ,O
,Lifting,O
,the,O
,plastic,O
,cover,O
Sentence 1570,Fig. 27 ,O
,Fitting,O
,the,O
,terminal,O
,box,O
,cover,O
Sentence 1571,Fig. 8 ,O
,Connection,O
,"terminals,",O
,"CRE,",O
,"CRIE,",O
,"CRNE,",O
,SPKE,O
,and,O
,MTRE,O
,pumps,O
Sentence 1572,Fig. 35 ,O
,Relation,O
,between,O
,the,O
,actual,O
,setpoint,O
,and,O
,the,O
,external,O
,setpoint,O
,signal,O
,in,O
,operation,O
,with,O
,sensor,O
,feedback,O
Sentence 1573,Fig. 12 ,O
,Connection,O
,with,O
,screened,O
,2-core,O
,cable,O
Sentence 1574,Fig. 13 ,O
,Derating,O
,of,O
,motor,O
,output,O
,power,O
,(P2),O
,in,O
,relation,O
,to,O
,altitude,O
,above,O
,sea,O
,level,O
Sentence 1575,Fig. 11 ,O
,Connection,O
,with,O
,screened,O
,3-core,O
,cable,O
Sentence 1576,Fig. 10 ,O
,Stripped,O
,cable,O
,with,O
,screen,O
,and,O
,wire,O
,connections,O
Sentence 1577,Fig. 33 ,O
,Grundfos,O
,GO,O
,Remote,O
,communicating,O
,with,O
,the,O
,pump,O
,via,O
,radio,O
,or,O
,infrared,O
,light,O
Sentence 1578,Fig. 34 ,O
,Example,O
,of,O
,dashboard,O
Sentence 1579,Fig. 1 ,O
,Minimum,O
,distance,O
,(D),O
,from,O
,the,O
,motor,O
,to,O
,a,O
,wall,O
,or,O
,other,O
,fixed,O
,objects,O
Sentence 1580,Fig. 2 ,O
,Examples,O
,of,O
,covers,O
,(not,O
,supplied,O
,by,O
,Grundfos),O
Sentence 1581,Fig. 3 ,O
,Drain,O
,holes,O
Sentence 1582,Fig. 15 ,O
,Pump,O
,in,O
,constant-curve,O
,control,O
,mode,O
Sentence 1583,Fig. 16 ,O
,Pump,O
,in,O
,constant-pressure,O
,control,O
,mode,O
Sentence 1584,Fig. 17 ,O
,Standard,O
,control,O
,panel,O
Sentence 1585,Fig. 37 ,O
,Grundfos,O
,Eye,O
Sentence 1586,Fig. 1 ,O
,Alarm,O
,device,O
Sentence 1587,Fig. 1 ,O
,Alarm,O
,device,O
Sentence 1588,Fig. 6 ,O
,Wiring,O
,diagram,O
,for,O
,three-phase,O
,pumps,O
Sentence 1589,Fig. 11 ,O
,Jerk,O
,direction,O
Sentence 1590,Fig. 9 ,O
,S3,O
,operation,O
Sentence 1591,Fig. 2 ,O
,Lifting,O
,points,O
Sentence 1592,Fig. 3 ,O
,SEG,O
,nameplate,O
Sentence 1593,Fig. 12 ,O
,Oil,O
,filling,O
,holes,O
Sentence 1594,Fig. 5 ,O
,Components,O
,of,O
,pressure,O
,intensifier,O
Sentence 1595,Fig. 7 ,O
,Pump,O
,with,O
,dosing,O
,pump,O
Sentence 1596,Fig. 1 ,O
,Tandem,O
,seal,O
,arrangement,O
,with,O
,circulating,O
,flushing,O
,liquid,O
Sentence 1597,Fig. 6 ,O
,Seal,O
,chamber,O
,"CR,",O
,CRN,water pump
,"32,",O
,"45,",O
,"64,",O
,"90,",O
,"120,",O
Sentence 1598,Fig. 4 ,O
,Seal,O
,chamber,O
,"CR,",O
,"CRI,",O
,CRN,water pump
,"1s,",O
,"1,",O
,"3,",O
Sentence 1599,Fig. 5 ,O
,Seal,O
,chamber,O
,"CR,",O
,"CRI,",O
,CRN,water pump
,"10,",O
,"15,",O
Sentence 1600,Fig. 3 ,O
,Tandem,O
,seal,O
,arrangement,O
,with,O
,flushing,O
,liquid,O
,connected,O
,to,O
,a,O
,drain,O
Sentence 1601,Fig. 3 ,O
,Schematic,O
Sentence 1602,Fig. 6 ,O
,Field,O
,wiring,O
,diagram,O
Sentence 1603,Fig. 17 ,O
,Power,O
,supply,O
,and,O
,control,O
,panel,O
Sentence 1604,Fig. 19 ,O
,Product,O
,tank,O
Sentence 1605,Fig. 15 ,O
,Test,O
,kit,O
Sentence 1606,Fig. 9 ,O
,Brine,O
,tank,O
Sentence 1607,Fig. 10 ,O
,Venturi,O
,tee,O
Sentence 1608,Fig. 1 ,O
,Warranty,O
Sentence 1609,Fig. 14 ,O
,Exchange,O
,meter,O
,disc,O
Sentence 1610,Fig. 13 ,O
,Manual,O
,regeneration,O
Sentence 1611,Fig. 23 ,O
,Safe,O
,ventilation,O
,point,O
Sentence 1612,Fig. 7 ,O
,Selcoperm,O
,installation,O
Sentence 1613,Fig. 16 ,O
,Overview,O
,electrochlorinator,O
,spare,O
,parts,O
Sentence 1614,Fig. 5 ,O
,Dimensional,O
,drawing,O
Sentence 1615,Fig. 2 ,O
,Overview,O
Sentence 1616,Fig. 11 ,O
,Control,O
,and,O
,display,O
,with,O
,main,O
,display,O
,screen,O
Sentence 1617,Fig. 3 ,O
,Schematic,O
Sentence 1618,Fig. 6 ,O
,Field,O
,wiring,O
,diagram,O
Sentence 1619,Fig. 15 ,O
,Power,O
,supply,O
,and,O
,control,O
,panel,O
Sentence 1620,Fig. 17 ,O
,Product,O
,tank,O
Sentence 1621,Fig. 4 ,O
,Nameplate,O
Sentence 1622,Fig. 8 ,O
,Brine,O
,tank,O
Sentence 1623,Fig. 9 ,O
,Venturi,O
,tee,O
Sentence 1624,Fig. 1 ,O
,Warranty,O
Sentence 1625,Fig. 12 ,O
,Manual,O
,regeneration,O
Sentence 1626,Fig. 13 ,O
,Exchange,O
,meter,O
,disc,O
Sentence 1627,Fig. 7 ,O
,Selcoperm,O
,installation,O
Sentence 1628,Fig. 14 ,O
,Overview,O
,electrochlorinator,O
,spare,O
,parts,O
Sentence 1629,Fig. 5 ,O
,Dimensional,O
,drawing,O
Sentence 1630,Fig. 2 ,O
,Overview,O
Sentence 1631,Fig. 10 ,O
,Control,O
,and,O
,display,O
,with,O
,main,O
,display,O
,screen,O
Sentence 1632,Fig. 3 ,O
,Nameplate,O
Sentence 1633,Fig. 1 ,O
,Cabinet,O
,door,O
Sentence 1634,Fig. 8 ,O
,Manual,O
,resetting,O
,of,O
,alarms,O
Sentence 1635,Fig. 11 ,O
,Indicator,O
,light,O
,test,O
Sentence 1636,Fig. 4 ,O
,Control,O
,panel,O
Sentence 1637,Fig. 5 ,O
,Example,O
,of,O
,status,O
,display,O
Sentence 1638,Fig. 2 ,O
,Main,O
,components,O
,in,O
,control,O
,cabinet,O
Sentence 1639,Fig. 9 ,O
,Manual,O
,start,O
,via,O
,button,O
,after,O
,failed,O
,start,O
,attempts,O
Sentence 1640,Fig. 10 ,O
,Emergency,O
,start,O
,when,O
,controller,O
,fails,O
Sentence 1641,Fig. 7 ,O
,Connecting,O
,the,O
,battery,O
,sets,O
Sentence 1642,Fig. 1 ,O
Sentence 1643,Fig. 7 ,O
,Earth,O
,clamp,O
,on,O
,cable,O
,to,O
,the,O
,CIU,recording equipment
,box,O
Sentence 1644,Fig. 2 ,O
,CIM,O
,in,O
,a,O
,CIU,recording equipment
,box,O
Sentence 1645,Fig. 15 ,O
,Connection,O
,valve,O
Sentence 1646,Fig. 7 ,O
,Dimensions,O
,of,O
,header,O
,line,O
,for,O
,drums,O
Sentence 1647,Fig. 14 ,O
,Header,O
,line,O
,without,O
,leakage,O
Sentence 1648,Fig. 13 ,O
,Handling,O
,of,O
,ammonia,O
Sentence 1649,Fig. 19 ,O
,Connection,O
,valve,O
Sentence 1650,Fig. 18 ,O
,Shut-off,O
,valve,O
Sentence 1651,Fig. 17 ,O
,Connection,O
,valve,O
Sentence 1652,Fig. 1 ,O
,Design,O
,of,O
,a,O
,cylinder,O
Sentence 1653,Fig. 2 ,O
,Design,O
,of,O
,a,O
,drum,O
Sentence 1654,Fig. 16 ,O
,A:,O
,Flanged,O
,connection,O
,screwing,O
,(old),O
,B:,O
,Soldered,O
,connection,O
,screwing,O
,(new),O
Sentence 1655,Fig. 12 ,O
,Connection,O
,valve:,O
,installation,O
,dimension,O
,of,O
,the,O
,spindle,O
Sentence 1656,Fig. 11 ,O
,Gas,O
,dosing,O
,system,O
,with,O
,header,O
,line,O
Sentence 1657,Fig. 5 ,O
,Mandatory,O
,sign,O
Sentence 1658,Fig. 5 ,O
,Raising,O
,the,O
,pump,O
,to,O
,upright,O
,"position,",O
,step,O
Sentence 1659,Fig. 6 ,O
,Raising,O
,the,O
,pump,O
,to,O
,upright,O
,"position,",O
,step,O
Sentence 1660,Fig. 12 ,O
,Column,O
,pipe,O
,"installation,",O
,pump,O
,type,O
,ST,O
Sentence 1661,Fig. 13 ,O
,Wiring,O
,diagram,O
,for,O
,standard,O
,power,O
,cable,O
Sentence 1662,Fig. 10 ,O
,Auto-coupling,O
,base,O
,unit,O
,installation,O
,on,O
,a,O
,plinth,O
Sentence 1663,Fig. 35 ,O
,Impeller,O
,clearance,O
,adjustment,O
Sentence 1664,Fig. 28 ,O
,Submerged,O
,installation,O
,in,O
,column,O
,pipe,O
Sentence 1665,Fig. 27 ,O
,Permanent,O
,horizontal,O
,dry,O
,installation,O
Sentence 1666,Fig. 26 ,O
,Permanent,O
,vertical,O
,dry,O
,installation,O
,with,O
,base,O
,stand,O
,(left),O
,and,O
,base,O
,plate,O
,on,O
,two,O
,concrete,O
,plinths,O
,(right),O
Sentence 1667,Fig. 17 ,O
,Stop,O
,levels,O
,for,O
,auto-coupling,O
,installations,O
Sentence 1668,Fig. 1 ,O
,Transportation,O
,methods,O
Sentence 1669,Fig. 36 ,O
,Liquid,O
,level,O
Sentence 1670,Fig. 34 ,O
,Impeller,O
,clearance,O
,adjustment,O
Sentence 1671,Fig. 11 ,O
,Lowering,O
,the,O
,pump,O
,onto,O
,an,O
,auto,O
,coupling,O
Sentence 1672,Fig. 20 ,O
,S,O
,pump,O
Sentence 1673,Fig. 14 ,O
,Wiring,O
,diagram,O
,for,O
,sensors,O
Sentence 1674,Fig. 32 ,O
,Pump,O
,with,O
,inspection,O
,screw,O
,A,water pump
,upwards,O
Sentence 1675,Fig. 31 ,O
,Sensor,O
,"connections,",O
,SM 113,control unit
,outside,O
,motor,O
Sentence 1676,Fig. 30 ,O
,Sensor,O
,cable,O
,seen,O
,towards,O
,the,O
,pump,O
Sentence 1677,Fig. 29 ,O
,IO 113,i o systems
,and,O
,SM 113,control unit
Sentence 1678,Fig. 22 ,O
,Approval,O
,plates,O
,of,O
,explosion-proof,O
,"pumps,",O
,T3,O
,and,O
,T4,O
,classification,O
Sentence 1679,Fig. 2 ,O
,Lifting,O
,points,O
,for,O
,installation,O
,types,O
,"S,",O
,C,O
,and,O
,D*,O
Sentence 1680,Fig. 3 ,O
,Inlet,O
,head,O
Sentence 1681,Fig. 4 ,O
,Unrestricted,O
,pipe,O
Sentence 1682,Fig. 8 ,O
,Foundation,O
Sentence 1683,Fig. 23 ,O
,Electrical,O
,connection,O
Sentence 1684,Fig. 24 ,O
,Electrical,O
,supply,O
,permanently,O
,on,O
Sentence 1685,Fig. 13 ,O
,Cold-water,O
,storage,O
,tank,O
Sentence 1686,Fig. 14 ,O
,Correct,O
,fitting,O
,of,O
,non-return,O
,valves,O
Sentence 1687,Fig. 31 ,O
,Dry-running,O
,protection,O
Sentence 1688,Fig. 30 ,O
,Definition,O
,of,O
,universal-head,O
,pumps,O
Sentence 1689,Fig. 33 ,O
,Maximum,O
,static,O
,head,O
Sentence 1690,Fig. 32 ,O
,Resetting,O
,dry-running,O
,protection,O
Sentence 1691,Fig. 22 ,O
,Pump,O
,positioned,O
,above,O
,hot-water,O
,cylinder,O
Sentence 1692,Fig. 18 ,O
,Connecting,O
,the,O
,flexible,O
,hoses,O
Sentence 1693,Fig. 8 ,O
,Presetting,O
,the,O
,connection,O
,code,O
,in,O
,Grundfos,O
,GO,O
Sentence 1694,Fig. 8 ,O
,Insulating,O
,the,O
,pump,O
,housing,O
Sentence 1695,Fig. 15 ,O
,Pumped,O
,"liquids,",O
,warnings,O
,and,O
,operating,O
,conditions,O
Sentence 1696,Fig. 37 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,XX-40,O
,TM,O
Sentence 1697,Fig. 38 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,XX-50,O
,TM,O
Sentence 1698,Fig. 24 ,O
,Three,O
,constant-pressure,O
,curves,O
,and,O
,settings,O
Sentence 1699,Fig. 22 ,O
,Three,O
,proportional-pressure,O
,curves/settings,O
Sentence 1700,Fig. 21 ,O
,Selection,O
,of,O
,pump,O
,setting,O
,for,O
,system,O
,type,O
Sentence 1701,Fig. 42 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,25-60,O
,A,water pump
,TM,O
Sentence 1702,Fig. 41 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,25-60,O
,A,water pump
,TM,O
Sentence 1703,Fig. 34 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,"XX-40,",O
,"XX-50,",O
,"XX-60,",O
,XX-80,O
Sentence 1704,Fig. 20 ,O
,Nine,O
,light,O
,fields,O
Sentence 1705,Fig. 46 ,O
,User,O
,interface,O
,with,O
,one,O
,push,O
,button,O
,and,O
,five,O
,LEDs,O
Sentence 1706,Fig. 50 ,O
,Digital,O
,signal,O
,converter,O
,(SIKON,O
,HE),O
Sentence 1707,Fig. 49 ,O
,PWM,O
,signal,O
Sentence 1708,Fig. 48 ,O
,PWM,O
,input,O
,profile,O
,C,O
Sentence 1709,Fig. 31 ,O
,Automatic,O
,night,O
,setback,O
,activated,O
Sentence 1710,Fig. 35 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,25-40,O
,"A,",O
,25-60,O
,A,water pump
Sentence 1711,Fig. 40 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,25-40,O
,A,water pump
,TM,O
Sentence 1712,Fig. 18 ,O
,Nameplate,O
Sentence 1713,Fig. 51 ,O
,Performance,O
,curve,O
Sentence 1714,Fig. 33 ,O
,ALPHA,O
,Reader,O
Sentence 1715,Fig. 32 ,O
,Automatic,O
,night,O
,setback,O
,button,O
Sentence 1716,Fig. 29 ,O
,Pump,O
,setting,O
,in,O
,relation,O
,to,O
,pump,O
,performance,O
Sentence 1717,Fig. 39 ,O
,ALPHA2,O
,and,O
,"ALPHA3,",O
,XX-60,O
,TM,O
Sentence 1718,Fig. 36 ,O
,Performance,O
,curves,O
,in,O
,relation,O
,to,O
,pump,O
,setting,O
Sentence 1719,Fig. 10 ,O
,Superseal,O
,power,O
,connector,O
Sentence 1720,Fig. 43 ,O
,G-threads,O
,and,O
,R-threads,O
Sentence 1721,Fig. 7 ,O
,Position,O
,of,O
,the,O
,ALPHA,O
,SOLAR,O
,control,O
,box,O
Sentence 1722,Fig. 28 ,O
,Three,O
,constant,O
,curve/constant,O
,speed,O
,settings,O
Sentence 1723,Fig. 27 ,O
,Selection,O
,of,O
,pump,O
,setting,O
,for,O
,system,O
,type,O
Sentence 1724,Fig. 26 ,O
,Three,O
,constant-pressure,O
,curves,O
,or,O
,settings,O
Sentence 1725,Fig. 16 ,O
,Welding,O
,the,O
,column,O
,profile,O
,on,O
,to,O
,the,O
,bottom,O
,fixation,O
,plate,O
Sentence 1726,Fig. 27 ,O
,Schematic,O
,drawing,O
,of,O
,delta,O
,and,O
,star,O
,connection,O
Sentence 1727,Fig. 6 ,O
,SMD,O
,and,O
,SMG,O
,mixers,O
Sentence 1728,Fig. 7 ,O
,Fixation,O
Sentence 1729,Fig. 36 ,O
,SMG,O
,mixer,O
Sentence 1730,Fig. 35 ,O
,SMD,O
,mixer,O
Sentence 1731,Fig. 37 ,O
,SFG,O
,flowmaker,O
Sentence 1732,Fig. 13 ,O
,SFG.xx.180/230,O
Sentence 1733,Fig. 25 ,O
,Mounting,O
,the,O
,lifting,O
,wire,O
,in,O
,the,O
,drum,O
Sentence 1734,Fig. 21 ,O
,Top,O
,fixation,O
Sentence 1735,Fig. 1 ,O
,Mounting,O
,of,O
,the,O
,lifting,O
,wire,O
,on,O
,the,O
,motor,O
,bracket,O
Sentence 1736,Fig. 34 ,O
,Protection,O
,against,O
,electro-chemical,O
,corrosion,O
Sentence 1737,Fig. 31 ,O
,Three,O
,PTC,O
,sensors,O
Sentence 1738,Fig. 30 ,O
,Three,O
,thermal,O
,switches,O
Sentence 1739,Fig. 19 ,O
,"SFG.xx.180-230,",O
,profile,O
,and,O
,support,O
,legs,O
Sentence 1740,Fig. 20 ,O
,"SFG.xx.130-230,",O
,profile,O
,and,O
,support,O
,legs,O
Sentence 1741,Fig. 39 ,O
,Nameplate,O
,of,O
,explosion-proof,O
,SMD,O
Sentence 1742,Fig. 12 ,O
,SFG,O
,flowmaker,O
Sentence 1743,Fig. 11 ,O
,Top,O
,fixation,O
,bracket,O
,with,O
,lifting,O
,and,O
,safety,O
,wires,O
,and,O
,cable,O
,sock,O
Sentence 1744,Fig. 29 ,O
,ALR,O
,relay,O
,connections,O
Sentence 1745,Fig. 3 ,O
,Settings,O
,>,O
,Dispensers,O
,>,O
,Clusters,O
Sentence 1746,Fig. 11 ,O
,Credit,O
,report,O
Sentence 1747,Fig. 10 ,O
,Water,O
,report,O
Sentence 1748,Fig. 17 ,O
,Service,O
,log,O
,-,O
,dispenser,O
,level,O
Sentence 1749,Fig. 25 ,O
,Connection,O
,settings,O
,(disconnected),O
Sentence 1750,Fig. 26 ,O
,Connection,O
,settings,O
,(connected),O
Sentence 1751,Fig. 15 ,O
,Logs,O
,>,O
,Transaction,O
,log,O
Sentence 1752,Fig. 6 ,O
,Breadcrumb,O
Sentence 1753,Fig. 23 ,O
,Cluster,O
,settings,O
Sentence 1754,Fig. 14 ,O
,Status,O
,map,O
Sentence 1755,Fig. 31 ,O
,Help,O
,and,O
,support,O
Sentence 1756,Fig. 30 ,O
,User,O
,settings,O
,-,O
,details,O
Sentence 1757,Fig. 32 ,O
,News,O
,screen,O
Sentence 1758,Fig. 1 ,O
,Settings,O
,>,O
,Dispensers,O
Sentence 1759,Fig. 2 ,O
,Settings,O
,>,O
,Dispensers,O
,>,O
,Connection,O
Sentence 1760,Fig. 22 ,O
,Group,O
,settings,O
Sentence 1761,Fig. 19 ,O
,File,O
,upload,O
Sentence 1762,Fig. 20 ,O
,Dispenser,O
,settings,O
,screens,O
Sentence 1763,Fig. 21 ,O
,Dispenser,O
,settings,O
,(list),O
Sentence 1764,Fig. 8 ,O
,Attaching,O
,the,O
,power,O
,supply,O
,cable,O
,to,O
,the,O
,lifting,O
,wire,O
Sentence 1765,Fig. 9 ,O
,Top,O
,fixation,O
,bracket,O
,with,O
,lifting,O
,and,O
,safety,O
,wires,O
,and,O
,cable,O
,sock,O
Sentence 1766,Fig. 12 ,O
,Three,O
,PTC,O
,sensors,O
Sentence 1767,Fig. 11 ,O
,Three,O
,thermal,O
,switches,O
,(PTO),O
Sentence 1768,Fig. 1 ,O
,Distance,O
,to,O
,liquid,O
,surface,O
,and,O
,tank,O
,bottom,O
Sentence 1769,Fig. 16 ,O
,Oil,O
,check,O
,and,O
,oil,O
,filling,O
Sentence 1770,Fig. 17 ,O
,SRG,O
,pump,O
Sentence 1771,Fig. 2 ,O
,Open,O
,installation,O
Sentence 1772,Fig. 19 ,O
,Position,O
,of,O
,oil,O
,drain,O
,and,O
,oil,O
,filling,O
,screws,O
Sentence 1773,Fig. 5 ,O
,Submerged,O
,installation,O
,on,O
,auto,O
,coupling,O
Sentence 1774,Fig. 7 ,O
,"Submerged,",O
,temporary,O
,installation,O
Sentence 1775,Fig. 10 ,O
,Eccentric,O
,reducer,O
Sentence 1776,Fig. 1 ,O
,Liquid,O
,level,O
Sentence 1777,Fig. 17 ,O
,Impeller,O
,clearance,O
,adjustment,O
Sentence 1778,Fig. 16 ,O
,Impeller,O
,clearance,O
,adjustment,O
Sentence 1779,Fig. 2 ,O
,Pump,O
,nameplate,O
Sentence 1780,Fig. 3 ,O
,Approval,O
,plates,O
,of,O
,explosion-proof,O
,"pumps,",O
,T3,O
,and,O
,T4,O
,classification,O
Sentence 1781,Fig. 11 ,O
,Dimensions,O
,of,O
,WIO sensor,accessories
Sentence 1782,Fig. 4 ,O
,Lifting,O
,points,O
Sentence 1783,Fig. 6 ,O
,Installation,O
,of,O
,SMD,O
,and,O
,SMG,O
,mixers,O
Sentence 1784,Fig. 17 ,O
,SFG.xx.180-230,O
,profile,O
,and,O
,support,O
,legs,O
Sentence 1785,Fig. 26 ,O
,ALR,O
,relay,O
,connections,O
Sentence 1786,Fig. 8 ,O
,Safety,O
,wire,O
Sentence 1787,Fig. 14 ,O
,Welding,O
,the,O
,column,O
,profile,O
,on,O
,to,O
,the,O
,bottom,O
,fixation,O
,plate,O
Sentence 1788,Fig. 24 ,O
,Schematic,O
,drawing,O
,of,O
,delta,O
,and,O
,star,O
,connection,O
Sentence 1789,Fig. 22 ,O
,Attaching,O
,the,O
,cable,O
,to,O
,the,O
,wire,O
Sentence 1790,Fig. 9 ,O
,Attaching,O
,the,O
,power,O
,supply,O
,cable,O
,to,O
,the,O
,lifting,O
,wire,O
Sentence 1791,Fig. 10 ,O
,Top,O
,fixation,O
,bracket,O
,with,O
,lifting,O
,and,O
,safety,O
,wires,O
,and,O
,cable,O
,sock,O
Sentence 1792,Fig. 1 ,O
,Mounting,O
,of,O
,lifting,O
,wire,O
,on,O
,motor,O
,bracket,O
Sentence 1793,Fig. 2 ,O
,Mounting,O
,of,O
,lifting,O
,wire,O
,on,O
,SMD,O
Sentence 1794,Fig. 35 ,O
,"SMD,",O
,10-wire,O
,cable,O
Sentence 1795,Fig. 20 ,O
,Mounting,O
,of,O
,the,O
,lifting,O
,wire,O
,on,O
,the,O
,motor,O
,bracket,O
Sentence 1796,Fig. 39 ,O
,Protection,O
,against,O
,electro-chemical,O
,corrosion,O
Sentence 1797,Fig. 3 ,O
,Positioning,O
,sketch,O
,for,O
,mixers,O
Sentence 1798,Fig. 28 ,O
,Three,O
,PTC,O
,sensors,O
Sentence 1799,Fig. 27 ,O
,Three,O
,thermal,O
,switches,O
Sentence 1800,Fig. 2 ,O
,Connection,O
,"terminals,",O
,FM,O
Sentence 1801,Fig. 3 ,O
,Adjustment,O
,of,O
,switching,O
,points,O
Sentence 1802,Fig. 15 ,O
,Protection,O
,from,O
,electro-chemical,O
,corrosion,O
Sentence 1803,Fig. 14 ,O
,ALR-20/A,O
,relay,O
,connections,O
Sentence 1804,Fig. 8 ,O
,Attaching,O
,the,O
,power,O
,supply,O
,cable,O
,to,O
,the,O
,lifting,O
,wire,O
Sentence 1805,Fig. 13 ,O
,Adjusting,O
,the,O
,relay,O
Sentence 1806,Fig. 12 ,O
,Three,O
,PTC,O
,sensors,O
Sentence 1807,Fig. 11 ,O
,Three,O
,thermal,O
,switches,O
,(PTO),O
Sentence 1808,Fig. 1 ,O
,Distance,O
,to,O
,liquid,O
,surface,O
,and,O
,tank,O
,bottom,O
Sentence 1809,Fig. 16 ,O
,Oil,O
,check,O
,and,O
,oil,O
,filling,O
Sentence 1810,Fig. 17 ,O
,SRG,O
,pump,O
Sentence 1811,Fig. 2 ,O
,Open,O
,installation,O
Sentence 1812,Fig. 19 ,O
,Position,O
,of,O
,oil,O
,drain,O
,and,O
,oil,O
,filling,O
,screws,O
Sentence 1813,Fig. 2 ,O
,Mounting,O
,on,O
,DIN,O
,rail,O
Sentence 1814,Fig. 22 ,O
,Nameplate,O
Sentence 1815,Fig. 3 ,O
,Screen,O
,fixed,O
,with,O
,cable,O
,clamp,O
Sentence 1816,Fig. 12 ,O
,IO 113,i o systems
,and,O
,SM 113,control unit
Sentence 1817,Fig. 11 ,O
,DIP,O
,switches,O
,on,O
,IO 113,i o systems
Sentence 1818,Fig. 13 ,O
,Connection,O
,pins,O
Sentence 1819,Fig. 5 ,O
,Built,O
,into,O
,a,O
,pump,O
Sentence 1820,Fig. 8 ,O
,Thermal,O
,"switches,",O
,moisture,O
,"switch,",O
,WIO/WIA,O
,"sensor,",O
,Pt100/Pt1000,O
,sensors,O
Sentence 1821,Fig. 9 ,O
,Thermal,O
,"switches,",O
,moisture,O
,"switch,",O
,WIO/WIA,O
,"sensor,",O
,Pt100/Pt1000,O
,"sensors,",O
,vibration,O
,sensor,O
Sentence 1822,Fig. 10 ,O
,Thermal,O
,"switches,",O
,moisture,O
,"switch,",O
,WIO/WIA,O
,"sensor,",O
,Pt100/Pt1000,O
,sensors,O
Sentence 1823,Fig. 5 ,O
,Insufficient,O
,compaction,O
,under,O
,pipes,O
Sentence 1824,Fig. 6 ,O
,Oval,O
,pit,O
,after,O
,compaction,O
Sentence 1825,Fig. 7 ,O
,Valve,O
,chamber,O
Sentence 1826,Fig. 26 ,O
,Air,O
,bells,O
,in,O
,a,O
,pit,O
,with,O
,one,O
,pump,O
Sentence 1827,Fig. 31 ,O
,Gooseneck,O
,with,O
,valves,O
Sentence 1828,Fig. 8 ,O
,Wall,O
,profile,O
,PS.W,O
,400-1000,O
Sentence 1829,Fig. 9 ,O
,Wall,O
,profile,O
,PS.W,O
,1250-3000,O
Sentence 1830,Fig. 22 ,O
,Pipe,O
,for,O
,cable,O
,entry,O
Sentence 1831,Fig. 14 ,O
,Pipe,O
,with,O
,LM50/100,O
,"sleeve,",O
,seen,O
,from,O
,side,O
Sentence 1832,Fig. 1 ,O
,Lifting,O
,the,O
,pit,O
,from,O
,a,O
,lorry,O
Sentence 1833,Fig. 2 ,O
,Placing,O
,the,O
,pit,O
,in,O
,upright,O
,position,O
,by,O
,straps,O
Sentence 1834,Fig. 3 ,O
,Lifting,O
,the,O
,pit,O
Sentence 1835,Fig. 28 ,O
,"Nameplate,",O
,PS.W,O
Sentence 1836,Fig. 27 ,O
,Example,O
,of,O
,pumping,O
,station,O
Sentence 1837,Fig. 18 ,O
,Not,O
,approved,O
,for,O
,pedestrians,O
,and,O
,vehicles,O
Sentence 1838,Fig. 4 ,O
,Lowering,O
,the,O
,foundation,O
,slab,O
Sentence 1839,Fig. 3 ,O
,Schematic,O
,installation,O
,drawing,O
Sentence 1840,Fig. 5 ,O
,Maximum,O
,angle,O
,of,O
,inclination,O
Sentence 1841,Fig. 6 ,O
,Lowering,O
,the,O
,pit,O
